Percent,Number,Method,Rank
50.63%,81,SMA-30c,10
53.13%,85,SMA-30c,10
50.63%,81,SMA-30c,10
50.63%,81,SMA-30c,10
50.00%,80,SMA-30c,10
48.75%,78,SMA-30c,10
50.00%,80,SMA-30c,10
50.63%,81,SMA-30c,10
50.63%,81,SMA-30c,10
53.75%,86,SMA-30c,10
51.88%,83,SMA-30c,10
50.00%,80,SMA-30c,10
50.63%,81,SMA-30c,10
51.25%,82,SMA-30c,10
49.38%,79,SMA-30c,10
50.00%,80,SMA-30c,10
50.00%,80,SMA-30c,10
51.25%,82,SMA-30c,10
51.88%,83,SMA-30c,10
49.38%,79,SMA-30c,10
53.13%,85,SMA-30c,10
49.38%,79,SMA-30c,10
49.38%,79,SMA-30c,10
50.63%,81,SMA-30c,10
54.38%,87,SMA-30c,10
49.38%,79,SMA-30c,10
48.75%,78,SMA-30c,10
53.13%,85,SMA-30c,10
52.50%,84,SMA-30c,10
51.88%,83,SMA-30c,10
50.63%,81,SMA-30c,10
51.88%,83,SMA-30c,10
50.00%,80,SMA-30c,10
52.50%,84,SMA-30c,10
53.75%,86,SMA-30c,10
51.88%,83,SMA-30c,10
53.13%,85,SMA-30c,10
48.75%,78,SMA-30c,10
50.63%,81,SMA-30c,10
48.75%,78,SMA-30c,10
48.13%,77,SMA-30c,10
51.88%,83,SMA-30c,10
50.00%,80,SMA-30c,10
51.25%,82,SMA-30c,10
50.63%,81,SMA-30c,10
50.00%,80,SMA-30c,10
52.50%,84,SMA-30c,10
50.63%,81,SMA-30c,10
51.88%,83,SMA-30c,10
50.63%,81,SMA-30c,10
52.50%,84,SMA-30c,10
49.38%,79,SMA-30c,10
52.50%,84,SMA-30c,10
52.50%,84,SMA-30c,10
50.63%,81,SMA-30c,10
51.25%,82,SMA-30c,10
50.00%,80,SMA-30c,10
51.88%,83,SMA-30c,10
51.25%,82,SMA-30c,10
50.63%,81,SMA-30c,10
50.00%,80,SMA-30c,10
51.25%,82,SMA-30c,10
50.63%,81,SMA-30c,10
50.63%,81,SMA-30c,10
49.38%,79,SMA-30c,10
50.00%,80,SMA-30c,10
51.88%,83,SMA-30c,10
49.38%,79,SMA-30c,10
53.13%,85,SMA-30c,10
50.63%,81,SMA-30c,10
51.88%,83,SMA-30c,10
54.38%,87,SMA-30c,10
53.13%,85,SMA-30c,10
52.50%,84,SMA-30c,10
51.25%,82,SMA-30c,10
53.13%,85,SMA-30c,10
48.75%,78,SMA-30c,10
51.25%,82,SMA-30c,10
52.50%,84,SMA-30c,10
53.13%,85,SMA-30c,10
49.38%,79,SMA-30c,10
49.38%,79,SMA-30c,10
50.00%,80,SMA-30c,10
50.00%,80,SMA-30c,10
51.88%,83,SMA-30c,10
50.63%,81,SMA-30c,10
51.88%,83,SMA-30c,10
50.63%,81,SMA-30c,10
50.63%,81,SMA-30c,10
50.00%,80,SMA-30c,10
51.88%,83,SMA-30c,10
48.13%,77,SMA-30c,10
50.00%,80,SMA-30c,10
48.13%,77,SMA-30c,10
51.25%,82,SMA-30c,10
48.75%,78,SMA-30c,10
53.13%,85,SMA-30c,10
48.13%,77,SMA-30c,10
50.63%,81,SMA-30c,10
51.25%,82,SMA-30c,10
50.63%,81,SMA-30c,10
51.88%,83,SMA-30c,10
51.25%,82,SMA-30c,10
51.25%,82,SMA-30c,10
51.25%,82,SMA-30c,10
51.25%,82,SMA-30c,10
50.63%,81,SMA-30c,10
48.13%,77,SMA-30c,10
52.50%,84,SMA-30c,10
48.75%,78,SMA-30c,10
51.25%,82,SMA-30c,10
49.38%,79,SMA-30c,10
51.25%,82,SMA-30c,10
51.88%,83,SMA-30c,10
46.88%,75,SMA-30c,10
47.50%,76,SMA-30c,10
51.25%,82,SMA-30c,10
50.00%,80,SMA-30c,10
52.50%,84,SMA-30c,10
51.88%,83,SMA-30c,10
54.38%,87,SMA-30c,10
52.50%,84,SMA-30c,10
49.38%,79,SMA-30c,10
48.75%,78,SMA-30c,10
53.13%,85,SMA-30c,10
49.38%,79,SMA-30c,10
51.88%,83,SMA-30c,10
49.38%,79,SMA-30c,10
50.00%,80,SMA-30c,10
48.13%,77,SMA-30c,10
50.00%,80,SMA-30c,10
51.88%,83,SMA-30c,10
51.88%,83,SMA-30c,10
46.25%,74,SMA-30c,10
50.63%,81,SMA-30c,10
50.00%,80,SMA-30c,10
53.75%,86,SMA-30c,10
52.50%,84,SMA-30c,10
51.88%,83,SMA-30c,10
53.13%,85,SMA-30c,10
50.00%,80,SMA-30c,10
51.88%,83,SMA-30c,10
51.25%,82,SMA-30c,10
50.00%,80,SMA-30c,10
47.50%,76,SMA-30c,10
46.25%,74,SMA-30c,10
50.00%,80,SMA-30c,10
49.38%,79,SMA-30c,10
50.63%,81,SMA-30c,10
51.88%,83,SMA-30c,10
54.38%,87,SMA-30c,10
51.88%,83,SMA-30c,10
51.88%,83,SMA-30c,10
50.00%,80,SMA-30c,10
48.75%,78,SMA-30c,10
49.38%,79,SMA-30c,10
52.50%,84,SMA-30c,10
50.63%,81,SMA-30c,10
51.25%,82,SMA-30c,10
51.25%,82,SMA-30c,10
48.13%,77,SMA-30c,10
51.88%,83,SMA-30c,10
50.63%,81,SMA-30c,10
49.38%,79,SMA-30c,10
51.88%,83,SMA-30c,10
51.88%,83,SMA-30c,10
51.25%,82,SMA-30c,10
54.38%,87,SMA-30c,10
55.00%,88,SMA-30c,10
50.00%,80,SMA-30c,10
51.88%,83,SMA-30c,10
53.13%,85,SMA-30c,10
50.00%,80,SMA-30c,10
49.38%,79,SMA-30c,10
50.63%,81,SMA-30c,10
52.50%,84,SMA-30c,10
50.63%,81,SMA-30c,10
52.50%,84,SMA-30c,10
52.50%,84,SMA-30c,10
53.75%,86,SMA-30c,10
52.50%,84,SMA-30c,10
51.25%,82,SMA-30c,10
53.75%,86,SMA-30c,10
53.13%,85,SMA-30c,10
54.38%,87,SMA-30c,10
51.88%,83,SMA-30c,10
53.75%,86,SMA-30c,10
52.50%,84,SMA-30c,10
50.63%,81,SMA-30c,10
50.63%,81,SMA-30c,10
55.00%,88,SMA-30c,10
49.38%,79,SMA-30c,10
50.63%,81,SMA-30c,10
50.63%,81,SMA-30c,10
52.50%,84,SMA-30c,10
50.63%,81,SMA-30c,10
54.38%,87,SMA-30c,10
51.88%,83,SMA-30c,10
50.63%,81,SMA-30c,10
51.88%,83,SMA-30c,10
50.63%,81,SMA-30c,10
51.25%,82,SMA-30c,10
51.25%,82,SMA-30c,10
49.38%,79,SMA-30c,10
51.25%,82,SMA-30c,10
52.50%,84,SMA-30c,10
50.00%,80,SMA-30c,10
50.63%,81,SMA-30c,10
51.25%,82,SMA-30c,10
51.88%,83,SMA-30c,10
49.38%,79,SMA-30c,10
51.88%,83,SMA-30c,10
49.38%,79,SMA-30c,10
51.25%,82,SMA-30c,10
53.13%,85,SMA-30c,10
52.50%,84,SMA-30c,10
48.75%,78,SMA-30c,10
52.50%,84,SMA-30c,10
52.50%,84,SMA-30c,10
49.38%,79,SMA-30c,10
51.25%,82,SMA-30c,10
51.88%,83,SMA-30c,10
53.13%,85,SMA-30c,10
54.38%,87,SMA-30c,10
49.38%,79,SMA-30c,10
52.50%,84,SMA-30c,10
48.75%,78,SMA-30c,10
54.38%,87,SMA-30c,10
51.88%,83,SMA-30c,10
50.63%,81,SMA-30c,10
51.25%,82,SMA-30c,10
50.63%,81,SMA-30c,10
52.50%,84,SMA-30c,10
51.88%,83,SMA-30c,10
53.13%,85,SMA-30c,10
49.38%,79,SMA-30c,10
53.13%,85,SMA-30c,10
51.88%,83,SMA-30c,10
52.50%,84,SMA-30c,10
51.25%,82,SMA-30c,10
48.75%,78,SMA-30c,10
50.63%,81,SMA-30c,10
51.25%,82,SMA-30c,10
50.63%,81,SMA-30c,10
49.38%,79,SMA-30c,10
50.63%,81,SMA-30c,10
51.25%,82,SMA-30c,10
51.88%,83,SMA-30c,10
51.25%,82,SMA-30c,10
53.13%,85,SMA-30c,10
51.88%,83,SMA-30c,10
50.63%,81,SMA-30c,10
51.88%,83,SMA-30c,10
51.88%,83,SMA-30c,10
52.50%,84,SMA-30c,10
51.25%,82,SMA-30c,10
50.00%,80,SMA-30c,10
50.00%,80,SMA-30c,10
52.50%,84,SMA-30c,10
52.50%,84,SMA-30c,10
55.00%,88,SMA-30c,10
51.88%,83,SMA-30c,10
50.63%,81,SMA-30c,10
54.38%,87,SMA-30c,10
50.00%,80,SMA-30c,10
53.75%,86,SMA-30c,10
52.50%,84,SMA-30c,10
50.00%,80,SMA-30c,10
51.88%,83,SMA-30c,10
51.25%,82,SMA-30c,10
51.25%,82,SMA-30c,10
50.63%,81,SMA-30c,10
51.88%,83,SMA-30c,10
51.88%,83,SMA-30c,10
51.25%,82,SMA-30c,10
51.25%,82,SMA-30c,10
52.50%,84,SMA-30c,10
52.50%,84,SMA-30c,10
51.88%,83,SMA-30c,10
51.25%,82,SMA-30c,10
51.88%,83,SMA-30c,10
51.25%,82,SMA-30c,10
52.50%,84,SMA-30c,10
50.63%,81,SMA-30c,10
53.75%,86,SMA-30c,10
51.88%,83,SMA-30c,10
51.25%,82,SMA-30c,10
50.00%,80,SMA-30c,10
49.38%,79,SMA-30c,10
50.63%,81,SMA-30c,10
51.25%,82,SMA-30c,10
52.50%,84,SMA-30c,10
50.00%,80,SMA-30c,10
49.38%,79,SMA-30c,10
51.25%,82,SMA-30c,10
52.50%,84,SMA-30c,10
51.25%,82,SMA-30c,10
53.13%,85,SMA-30c,10
50.00%,80,SMA-30c,10
51.25%,82,SMA-30c,10
48.75%,78,SMA-30c,10
48.13%,77,SMA-30c,10
50.63%,81,SMA-30c,10
53.75%,86,SMA-30c,10
51.88%,83,SMA-30c,10
50.63%,81,SMA-30c,10
54.38%,87,SMA-30c,10
51.88%,83,SMA-30c,10
53.13%,85,SMA-30c,10
50.63%,81,SMA-30c,10
51.88%,83,SMA-30c,10
50.63%,81,SMA-30c,10
52.50%,84,SMA-30c,10
54.38%,87,SMA-30c,10
53.75%,86,SMA-30c,10
50.63%,81,SMA-30c,10
50.63%,81,SMA-30c,10
51.25%,82,SMA-30c,10
50.63%,81,SMA-30c,10
50.00%,80,SMA-30c,10
51.25%,82,SMA-30c,10
49.38%,79,SMA-30c,10
50.00%,80,SMA-30c,10
51.25%,82,SMA-30c,10
50.63%,81,SMA-30c,10
54.38%,87,SMA-30c,10
48.75%,78,SMA-30c,10
51.88%,83,SMA-30c,10
53.13%,85,SMA-30c,10
51.25%,82,SMA-30c,10
48.75%,78,SMA-30c,10
50.00%,80,SMA-30c,10
50.00%,80,SMA-30c,10
53.75%,86,SMA-30c,10
54.38%,87,SMA-30c,10
48.75%,78,SMA-30c,10
51.25%,82,SMA-30c,10
51.25%,82,SMA-30c,10
51.88%,83,SMA-30c,10
50.63%,81,SMA-30c,10
51.25%,82,SMA-30c,10
51.88%,83,SMA-30c,10
50.00%,80,SMA-30c,10
51.25%,82,SMA-30c,10
50.63%,81,SMA-30c,10
51.88%,83,SMA-30c,10
50.63%,81,SMA-30c,10
51.25%,82,SMA-30c,10
53.75%,86,SMA-30c,10
50.00%,80,SMA-30c,10
51.88%,83,SMA-30c,10
49.38%,79,SMA-30c,10
48.75%,78,SMA-30c,10
50.00%,80,SMA-30c,10
49.38%,79,SMA-30c,10
51.88%,83,SMA-30c,10
50.00%,80,SMA-30c,10
50.00%,80,SMA-30c,10
48.75%,78,SMA-30c,10
55.63%,89,SMA-30c,10
48.75%,78,SMA-30c,10
48.13%,77,SMA-30c,10
50.00%,80,SMA-30c,10
53.13%,85,SMA-30c,10
51.88%,83,SMA-30c,10
51.88%,83,SMA-30c,10
50.63%,81,SMA-30c,10
48.75%,78,SMA-30c,10
48.75%,78,SMA-30c,10
53.13%,85,SMA-30c,10
50.00%,80,SMA-30c,10
48.75%,78,SMA-30c,10
50.00%,80,SMA-30c,10
50.63%,81,SMA-30c,10
51.88%,83,SMA-30c,10
50.00%,80,SMA-30c,10
50.63%,81,SMA-30c,10
50.00%,80,SMA-30c,10
50.63%,81,SMA-30c,10
51.25%,82,SMA-30c,10
50.63%,81,SMA-30c,10
50.00%,80,SMA-30c,10
51.25%,82,SMA-30c,10
50.63%,81,SMA-30c,10
50.00%,80,SMA-30c,10
50.00%,80,SMA-30c,10
50.63%,81,SMA-30c,10
48.75%,78,SMA-30c,10
48.75%,78,SMA-30c,10
50.63%,81,SMA-30c,10
53.75%,86,SMA-30c,10
51.25%,82,SMA-30c,10
50.63%,81,SMA-30c,10
51.25%,82,SMA-30c,10
51.25%,82,SMA-30c,10
50.00%,80,SMA-30c,10
48.75%,78,SMA-30c,10
50.00%,80,SMA-30c,10
50.63%,81,SMA-30c,10
51.25%,82,SMA-30c,10
52.50%,84,SMA-30c,10
50.00%,80,SMA-30c,10
50.00%,80,SMA-30c,10
51.25%,82,SMA-30c,10
48.75%,78,SMA-30c,10
48.75%,78,SMA-30c,10
50.00%,80,SMA-30c,10
50.63%,81,SMA-30c,10
51.25%,82,SMA-30c,10
51.88%,83,SMA-30c,10
50.00%,80,SMA-30c,10
48.75%,78,SMA-30c,10
52.50%,84,SMA-30c,10
50.63%,81,SMA-30c,10
51.88%,83,SMA-30c,10
51.25%,82,SMA-30c,10
50.00%,80,SMA-30c,10
50.00%,80,SMA-30c,10
49.38%,79,SMA-30c,10
50.00%,80,SMA-30c,10
52.50%,84,SMA-30c,10
51.25%,82,SMA-30c,10
50.63%,81,SMA-30c,10
49.38%,79,SMA-30c,10
49.38%,79,SMA-30c,10
52.50%,84,SMA-30c,10
47.50%,76,SMA-30c,10
50.00%,80,SMA-30c,10
49.38%,79,SMA-30c,10
51.25%,82,SMA-30c,10
49.38%,79,SMA-30c,10
47.50%,76,SMA-30c,10
48.75%,78,SMA-30c,10
48.13%,77,SMA-30c,10
51.25%,82,SMA-30c,10
50.63%,81,SMA-30c,10
48.75%,78,SMA-30c,10
48.75%,78,SMA-30c,10
51.88%,83,SMA-30c,10
53.13%,85,SMA-30c,10
51.88%,83,SMA-30c,10
48.13%,77,SMA-30c,10
51.25%,82,SMA-30c,10
50.63%,81,SMA-30c,10
53.13%,85,SMA-30c,10
49.38%,79,SMA-30c,10
51.88%,83,SMA-30c,10
50.00%,80,SMA-30c,10
51.88%,83,SMA-30c,10
49.38%,79,SMA-30c,10
50.00%,80,SMA-30c,10
50.63%,81,SMA-30c,10
50.63%,81,SMA-30c,10
48.13%,77,SMA-30c,10
48.75%,78,SMA-30c,10
49.38%,79,SMA-30c,10
49.38%,79,SMA-30c,10
48.13%,77,SMA-30c,10
50.00%,80,SMA-30c,10
51.25%,82,SMA-30c,10
50.00%,80,SMA-30c,10
50.63%,81,SMA-30c,10
50.63%,81,SMA-30c,10
50.00%,80,SMA-30c,10
49.38%,79,SMA-30c,10
50.63%,81,SMA-30c,10
47.50%,76,SMA-30c,10
51.88%,83,SMA-30c,10
48.75%,78,SMA-30c,10
51.25%,82,SMA-30c,10
48.75%,78,SMA-30c,10
48.13%,77,SMA-30c,10
52.50%,84,SMA-30c,10
48.75%,78,SMA-30c,10
51.25%,82,SMA-30c,10
52.50%,84,SMA-30c,10
51.88%,83,SMA-30c,10
51.25%,82,SMA-30c,10
52.50%,84,SMA-30c,10
50.63%,81,SMA-30c,10
49.38%,79,SMA-30c,10
51.88%,83,SMA-30c,10
48.13%,77,SMA-30c,10
49.38%,79,SMA-30c,10
50.00%,80,SMA-30c,10
50.00%,80,SMA-30c,10
50.63%,81,SMA-30c,10
48.75%,78,SMA-30c,10
50.63%,81,SMA-30c,10
47.50%,76,SMA-30c,10
52.50%,84,SMA-30c,10
50.00%,80,SMA-30c,10
49.38%,79,SMA-30c,10
51.25%,82,SMA-30c,10
51.25%,82,SMA-30c,10
49.38%,79,SMA-30c,10
49.38%,79,SMA-30c,10
47.50%,76,SMA-30c,10
50.63%,81,SMA-30c,10
53.13%,85,SMA-30c,10
50.00%,80,SMA-30c,10
48.75%,78,SMA-30c,10
50.63%,81,SMA-30c,10
48.75%,78,SMA-30c,10
50.00%,80,SMA-30c,10
50.00%,80,SMA-30c,10
51.88%,83,SMA-30c,10
50.63%,81,SMA-30c,10
49.38%,79,SMA-30c,10
50.00%,80,SMA-30c,10
47.50%,76,SMA-30c,10
51.88%,83,SMA-30c,10
48.75%,78,SMA-30c,10
49.38%,79,SMA-30c,10
50.63%,81,SMA-30c,10
49.38%,79,SMA-30c,10
50.63%,81,SMA-30c,10
48.75%,78,SMA-30c,10
50.00%,80,SMA-30c,10
47.50%,76,SMA-30c,10
50.00%,80,SMA-30c,10
53.13%,85,SMA-30c,10
52.50%,84,SMA-30c,10
53.13%,85,SMA-30c,10
52.50%,84,SMA-30c,10
51.88%,83,SMA-30c,10
51.25%,82,SMA-30c,10
52.50%,84,SMA-30c,10
50.63%,81,SMA-30c,10
50.00%,80,SMA-30c,10
53.13%,85,SMA-30c,10
53.75%,86,SMA-30c,10
53.13%,85,SMA-30c,10
51.88%,83,SMA-30c,10
50.63%,81,SMA-30c,10
52.50%,84,SMA-30c,10
51.25%,82,SMA-30c,10
50.63%,81,SMA-30c,10
50.00%,80,SMA-30c,10
48.13%,77,SMA-30c,10
51.88%,83,SMA-30c,10
53.75%,86,SMA-30c,10
51.88%,83,SMA-30c,10
51.88%,83,SMA-30c,10
50.00%,80,SMA-30c,10
49.38%,79,SMA-30c,10
52.50%,84,SMA-30c,10
51.25%,82,SMA-30c,10
53.13%,85,SMA-30c,10
51.25%,82,SMA-30c,10
50.00%,80,SMA-30c,10
52.50%,84,SMA-30c,10
50.63%,81,SMA-30c,10
51.25%,82,SMA-30c,10
51.88%,83,SMA-30c,10
51.25%,82,SMA-30c,10
52.50%,84,SMA-30c,10
51.88%,83,SMA-30c,10
52.50%,84,SMA-30c,10
51.88%,83,SMA-30c,10
51.25%,82,SMA-30c,10
53.75%,86,SMA-30c,10
51.88%,83,SMA-30c,10
53.13%,85,SMA-30c,10
50.00%,80,SMA-30c,10
52.50%,84,SMA-30c,10
50.00%,80,SMA-30c,10
53.13%,85,SMA-30c,10
50.63%,81,SMA-30c,10
50.00%,80,SMA-30c,10
50.63%,81,SMA-30c,10
51.88%,83,SMA-30c,10
52.50%,84,SMA-30c,10
50.63%,81,SMA-30c,10
53.13%,85,SMA-30c,10
50.63%,81,SMA-30c,10
50.63%,81,SMA-30c,10
50.00%,80,SMA-30c,10
52.50%,84,SMA-30c,10
49.38%,79,SMA-30c,10
55.00%,88,SMA-30c,10
50.63%,81,SMA-30c,10
51.88%,83,SMA-30c,10
51.25%,82,SMA-30c,10
50.63%,81,SMA-30c,10
51.88%,83,SMA-30c,10
52.50%,84,SMA-30c,10
50.00%,80,SMA-30c,10
52.50%,84,SMA-30c,10
50.00%,80,SMA-30c,10
49.38%,79,SMA-30c,10
54.38%,87,SMA-30c,10
50.00%,80,SMA-30c,10
52.50%,84,SMA-30c,10
51.25%,82,SMA-30c,10
50.00%,80,SMA-30c,10
53.13%,85,SMA-30c,10
51.25%,82,SMA-30c,10
51.88%,83,SMA-30c,10
51.88%,83,SMA-30c,10
50.00%,80,SMA-30c,10
54.38%,87,SMA-30c,10
50.63%,81,SMA-30c,10
51.25%,82,SMA-30c,10
51.25%,82,SMA-30c,10
51.25%,82,SMA-30c,10
50.63%,81,SMA-30c,10
51.88%,83,SMA-30c,10
49.38%,79,SMA-30c,10
51.25%,82,SMA-30c,10
57.50%,92,SMA-30c,10
50.00%,80,SMA-30c,10
51.25%,82,SMA-30c,10
53.13%,85,SMA-30c,10
51.25%,82,SMA-30c,10
49.38%,79,SMA-30c,10
50.63%,81,SMA-30c,10
53.13%,85,SMA-30c,10
52.50%,84,SMA-30c,10
49.38%,79,SMA-30c,10
50.00%,80,SMA-30c,10
51.25%,82,SMA-30c,10
53.13%,85,SMA-30c,10
51.88%,83,SMA-30c,10
52.50%,84,SMA-30c,10
56.25%,90,SMA-30c,10
52.50%,84,SMA-30c,10
53.13%,85,SMA-30c,10
51.25%,82,SMA-30c,10
51.25%,82,SMA-30c,10
51.25%,82,SMA-30c,10
52.50%,84,SMA-30c,10
53.13%,85,SMA-30c,10
51.25%,82,SMA-30c,10
49.38%,79,SMA-30c,10
50.63%,81,SMA-30c,10
50.00%,80,SMA-30c,10
52.50%,84,SMA-30c,10
52.50%,84,SMA-30c,10
51.88%,83,SMA-30c,10
48.75%,78,SMA-30c,10
50.63%,81,SMA-30c,10
55.00%,88,SMA-30c,10
51.88%,83,SMA-30c,10
51.25%,82,SMA-30c,10
51.25%,82,SMA-30c,10
52.50%,84,SMA-30c,10
52.50%,84,SMA-30c,10
52.50%,84,SMA-30c,10
51.88%,83,SMA-30c,10
49.38%,79,SMA-30c,10
52.50%,84,SMA-30c,10
52.50%,84,SMA-30c,10
49.38%,79,SMA-30c,10
53.13%,85,SMA-30c,10
50.63%,81,SMA-30c,10
50.63%,81,SMA-30c,10
49.38%,79,SMA-30c,10
53.13%,85,SMA-30c,10
50.00%,80,SMA-30c,10
52.50%,84,SMA-30c,10
50.63%,81,SMA-30c,10
51.88%,83,SMA-30c,10
52.50%,84,SMA-30c,10
50.63%,81,SMA-30c,10
50.63%,81,SMA-30c,10
51.88%,83,SMA-30c,10
51.88%,83,SMA-30c,10
53.75%,86,SMA-30c,10
53.13%,85,SMA-30c,10
49.38%,79,SMA-30c,10
51.88%,83,SMA-30c,10
50.63%,81,SMA-30c,10
48.75%,78,SMA-30c,10
